# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
1,FS,99,0:11.291.933,6.750 us,10 B,,49,01,   DATA1 packet,4B 80 80 80 80 0F 00 00 62 EA
1,FS,100,0:11.291.941,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,101,0:12.086.000,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,102,0:11.323.938,768.007.916 ms,7 B,,49,01,IN txn   [24 POLL],80 80 80 80 0F 04 00
1,FS,103,0:11.323.938,735.999.583 ms,,,49,01,   [24 IN-NAK],
1,FS,104,0:12.091.934,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,105,0:12.091.938,6.750 us,10 B,,49,01,   DATA0 packet,C3 80 80 80 80 0F 04 00 60 2A
1,FS,106,0:12.091.945,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,107,0:12.488.002,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,108,0:12.123.960,383.988.250 ms,7 B,,49,01,IN txn   [12 POLL],80 80 80 80 0F 00 00
1,FS,109,0:12.123.960,351.979.833 ms,,,49,01,   [12 IN-NAK],
1,FS,110,0:12.507.937,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,111,0:12.507.940,6.750 us,10 B,,49,01,   DATA1 packet,4B 80 80 80 80 0F 00 00 62 EA
1,FS,112,0:12.507.948,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,113,0:13.414.006,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,114,0:12.539.945,896.009.000 ms,7 B,,49,01,IN txn   [28 POLL],80 80 80 80 0F 04 00
1,FS,115,0:12.539.945,864.000.500 ms,,,49,01,   [28 IN-NAK],
1,FS,116,0:13.435.942,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,117,0:13.435.945,6.750 us,10 B,,49,01,   DATA0 packet,C3 80 80 80 80 0F 04 00 60 2A
1,FS,118,0:13.435.953,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,119,0:14.374.010,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,120,0:13.467.951,928.008.000 ms,7 B,,49,01,IN txn   [29 POLL],80 80 80 80 0F 00 00
1,FS,121,0:13.467.951,895.999.666 ms,,,49,01,   [29 IN-NAK],
1,FS,122,0:14.395.947,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,123,0:14.395.951,6.750 us,10 B,,49,01,   DATA1 packet,4B 80 80 80 80 0F 00 00 62 EA
1,FS,124,0:14.395.959,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,125,0:14.995.013,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,126,0:14.427.956,576.007.166 ms,7 B,,49,01,IN txn   [18 POLL],80 80 80 80 0F 04 00
1,FS,127,0:14.427.956,543.998.750 ms,,,49,01,   [18 IN-NAK],
1,FS,128,0:15.003.951,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,129,0:15.003.954,6.750 us,10 B,,49,01,   DATA0 packet,C3 80 80 80 80 0F 04 00 60 2A
1,FS,130,0:15.003.962,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,131,0:15.815.017,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,132,0:15.035.959,800.008.416 ms,7 B,,49,01,IN txn   [25 POLL],80 80 80 80 0F 00 00
1,FS,133,0:15.035.959,768.000.000 ms,,,49,01,   [25 IN-NAK],
1,FS,134,0:15.835.955,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,135,0:15.835.959,6.750 us,10 B,,49,01,   DATA1 packet,4B 80 80 80 80 0F 00 00 62 EA
1,FS,136,0:15.835.967,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,137,0:16.402.020,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,138,0:15.867.964,544.006.916 ms,7 B,,49,01,IN txn   [17 POLL],80 80 80 80 0F 04 00
1,FS,139,0:15.867.964,511.998.500 ms,,,49,01,   [17 IN-NAK],
1,FS,140,0:16.411.959,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,141,0:16.411.962,6.750 us,10 B,,49,01,   DATA0 packet,C3 80 80 80 80 0F 04 00 60 2A
1,FS,142,0:16.411.970,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,143,0:16.804.022,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,144,0:16.443.959,384.014.166 ms,7 B,,49,01,IN txn   [12 POLL],80 80 80 80 0F 00 00
1,FS,145,0:16.443.959,352.005.833 ms,,,49,01,   [12 IN-NAK],
1,FS,146,0:16.827.961,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,147,0:16.827.964,6.750 us,10 B,,49,01,   DATA1 packet,4B 80 80 80 80 0F 00 00 62 EA
1,FS,148,0:16.827.972,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,149,0:17.524.025,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,150,0:16.859.970,672.007.333 ms,7 B,,49,01,IN txn   [21 POLL],80 80 80 80 0F 04 00
1,FS,151,0:16.859.970,639.999.000 ms,,,49,01,   [21 IN-NAK],
1,FS,152,0:17.531.965,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,153,0:17.531.968,6.750 us,10 B,,49,01,   DATA0 packet,C3 80 80 80 80 0F 04 00 60 2A
1,FS,154,0:17.531.976,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,155,0:18.205.028,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,156,0:17.563.974,672.006.666 ms,7 B,,49,01,IN txn   [21 POLL],80 80 80 80 0F 00 00
1,FS,157,0:17.563.974,639.998.416 ms,,,49,01,   [21 IN-NAK],
1,FS,158,0:18.235.969,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,159,0:18.235.972,6.750 us,10 B,,49,01,   DATA1 packet,4B 80 80 80 80 0F 00 00 62 EA
1,FS,160,0:18.235.980,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,161,0:18.937.032,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,162,0:18.267.978,672.006.750 ms,7 B,,49,01,IN txn   [21 POLL],80 80 80 80 0F 04 00
1,FS,163,0:18.267.978,639.998.416 ms,,,49,01,   [21 IN-NAK],
1,FS,164,0:18.939.973,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,165,0:18.939.976,6.750 us,10 B,,49,01,   DATA0 packet,C3 80 80 80 80 0F 04 00 60 2A
1,FS,166,0:18.939.984,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,167,0:19.461.034,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,168,0:18.971.981,512.006.916 ms,7 B,,49,01,IN txn   [16 POLL],80 80 80 80 0F 00 00
1,FS,169,0:18.971.981,479.998.500 ms,,,49,01,   [16 IN-NAK],
1,FS,170,0:19.483.976,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,171,0:19.483.980,6.750 us,10 B,,49,01,   DATA1 packet,4B 80 80 80 80 0F 00 00 62 EA
1,FS,172,0:19.483.988,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,173,0:20.250.038,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,174,0:19.516.001,735.991.500 ms,7 B,,49,01,IN txn   [23 POLL],80 80 80 80 0F 04 00
1,FS,175,0:19.516.001,703.983.000 ms,,,49,01,   [23 IN-NAK],
1,FS,176,0:20.251.981,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,177,0:20.251.984,6.750 us,10 B,,49,01,   DATA0 packet,C3 80 80 80 80 0F 04 00 60 2A
1,FS,178,0:20.251.992,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,179,0:21.207.043,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,180,0:20.283.981,928.017.250 ms,7 B,,49,01,IN txn   [29 POLL],80 80 80 80 0F 00 00
1,FS,181,0:20.283.981,896.008.916 ms,,,49,01,   [29 IN-NAK],
1,FS,182,0:21.211.986,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,183,0:21.211.989,6.750 us,10 B,,49,01,   DATA1 packet,4B 80 80 80 80 0F 00 00 62 EA
1,FS,184,0:21.211.997,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,185,0:22.140.047,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
