# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
1,HS,87,0:17.753.638,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,88,0:17.753.638,283 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,89,0:17.753.639,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,90,0:18.356.528,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,91,0:17.753.774,602.870.283 ms,12 B,,48,02,IN txn   [4823 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,92,0:17.753.774,602.744.566 ms,,,48,02,   [4823 IN-NAK],
1,HS,93,0:18.356.643,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,94,0:18.356.643,283 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,95,0:18.356.644,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,96,0:19.259.534,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,97,0:18.356.768,902.882.733 ms,12 B,,48,02,IN txn   [7223 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,98,0:18.356.768,902.757.016 ms,,,48,02,   [7223 IN-NAK],
1,HS,99,0:19.259.650,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,100,0:19.259.650,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,101,0:19.259.651,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,102,0:20.133.539,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,103,0:19.259.777,873.880.383 ms,12 B,,48,02,IN txn   [6991 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,104,0:19.259.777,873.754.683 ms,,,48,02,   [6991 IN-NAK],
1,HS,105,0:20.133.656,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,106,0:20.133.657,283 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,107,0:20.133.658,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,108,0:20.962.544,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,109,0:20.133.792,828.871.983 ms,12 B,,48,02,IN txn   [6631 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,110,0:20.133.792,828.746.283 ms,,,48,02,   [6631 IN-NAK],
1,HS,111,0:20.962.663,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,112,0:20.962.663,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,113,0:20.962.664,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,114,0:21.362.547,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,115,0:20.962.798,399.868.650 ms,12 B,,48,02,IN txn   [3199 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,116,0:20.962.798,399.742.966 ms,,,48,02,   [3199 IN-NAK],
1,HS,117,0:21.362.666,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,118,0:21.362.666,283 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,119,0:21.362.667,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,120,0:22.328.553,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,121,0:21.362.798,965.876.716 ms,12 B,,48,02,IN txn   [7727 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,122,0:21.362.798,965.751.033 ms,,,48,02,   [7727 IN-NAK],
1,HS,123,0:22.328.673,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,124,0:22.328.674,283 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,125,0:22.328.674,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,126,0:23.119.558,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,127,0:22.328.809,790.871.700 ms,12 B,,48,02,IN txn   [6327 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,128,0:22.328.809,790.746.000 ms,,,48,02,   [6327 IN-NAK],
1,HS,129,0:23.119.679,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,130,0:23.119.680,283 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,131,0:23.119.680,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,132,0:23.620.561,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,133,0:23.119.814,500.870.516 ms,12 B,,48,02,IN txn   [4007 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,134,0:23.119.814,500.744.800 ms,,,48,02,   [4007 IN-NAK],
1,HS,135,0:23.620.683,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,136,0:23.620.684,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,137,0:23.620.684,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,138,0:24.315.565,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,139,0:23.620.820,694.869.583 ms,12 B,,48,02,IN txn   [5559 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,140,0:23.620.820,694.743.883 ms,,,48,02,   [5559 IN-NAK],
1,HS,141,0:24.315.688,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,142,0:24.315.689,266 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,143,0:24.315.690,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,144,0:25.081.570,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,145,0:24.315.816,765.879.166 ms,12 B,,48,02,IN txn   [6127 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,146,0:24.315.816,765.753.466 ms,,,48,02,   [6127 IN-NAK],
1,HS,147,0:25.081.694,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,148,0:25.081.695,283 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,149,0:25.081.695,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,150,0:25.846.575,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,151,0:25.081.830,764.871.483 ms,12 B,,48,02,IN txn   [6119 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,152,0:25.081.830,764.745.783 ms,,,48,02,   [6119 IN-NAK],
1,HS,153,0:25.846.700,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,154,0:25.846.701,283 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,155,0:25.846.701,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,156,0:26.746.580,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,157,0:25.846.836,899.872.433 ms,12 B,,48,02,IN txn   [7199 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
