# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
1,FS,5038,6:37.479.901,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5039,6:37.479.904,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 2A 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD DF 41
1,FS,5040,6:37.479.920,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5041,6:38.092.279,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,5042,6:37.483.909,616.014.916 ms,18 B,,12,02,IN txn   [154 POLL],20 00 2B 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5043,6:37.483.909,611.999.500 ms,,,12,02,   [154 IN-NAK],
1,FS,5044,6:38.099.904,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5045,6:38.099.908,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 2B 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 20 41
1,FS,5046,6:38.099.923,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5047,6:38.917.283,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,5048,6:38.103.913,820.015.500 ms,18 B,,12,02,IN txn   [205 POLL],20 00 2C 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5049,6:38.103.913,816.000.083 ms,,,12,02,   [205 IN-NAK],
1,FS,5050,6:38.923.909,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5051,6:38.923.912,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 2C 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 5C E3
1,FS,5052,6:38.923.928,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5053,6:39.521.286,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,5054,6:38.927.926,600.005.333 ms,18 B,,12,02,IN txn   [150 POLL],20 00 2D 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5055,6:38.927.926,595.989.833 ms,,,12,02,   [150 IN-NAK],
1,FS,5056,6:39.527.912,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5057,6:39.527.915,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 2D 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD A3 E3
1,FS,5058,6:39.527.931,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5059,6:40.188.289,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,5060,6:39.531.920,664.015.416 ms,18 B,,12,02,IN txn   [166 POLL],20 00 2E 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5061,6:39.531.920,659.999.916 ms,,,12,02,   [166 IN-NAK],
1,FS,5062,6:40.195.916,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5063,6:40.195.919,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 2E 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD DD 82
1,FS,5064,6:40.195.935,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5065,6:40.661.292,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,5066,6:40.199.941,463.996.500 ms,18 B,,12,02,IN txn   [116 POLL],20 00 2F 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5067,6:40.199.941,459.981.083 ms,,,12,02,   [116 IN-NAK],
1,FS,5068,6:40.663.918,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5069,6:40.663.922,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 2F 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 22 82
1,FS,5070,6:40.663.937,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5071,6:40.667.926,456.007.250 ms,8 B,,12,02,IN txn   [114 POLL],03 20 3A 04 80 01 00 00
1,FS,5072,6:40.667.926,451.998.583 ms,,,12,02,   [114 IN-NAK],
1,FS,5073,6:41.123.921,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5074,6:41.123.924,7.416 us,11 B,,12,02,   DATA0 packet,C3 03 20 3A 04 80 01 00 00 52 B9
1,FS,5075,6:41.123.933,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5076,6:41.495.296,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,5077,6:41.127.930,376.012.833 ms,18 B,,12,02,IN txn   [94 POLL],20 00 30 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5078,6:41.127.930,371.997.416 ms,,,12,02,   [94 IN-NAK],
1,FS,5079,6:41.503.923,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5080,6:41.503.926,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 30 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 54 2A
1,FS,5081,6:41.503.942,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5082,6:42.302.300,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,5083,6:41.507.931,804.015.583 ms,18 B,,12,02,IN txn   [201 POLL],20 00 31 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5084,6:41.507.931,800.000.166 ms,,,12,02,   [201 IN-NAK],
1,FS,5085,6:42.311.927,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5086,6:42.311.931,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 31 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD AB 2A
1,FS,5087,6:42.311.946,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5088,6:43.122.304,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,5089,6:42.315.935,816.016.250 ms,18 B,,12,02,IN txn   [204 POLL],20 00 32 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5090,6:42.315.935,812.000.750 ms,,,12,02,   [204 IN-NAK],
1,FS,5091,6:43.131.932,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5092,6:43.131.935,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 32 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD D5 4B
1,FS,5093,6:43.131.951,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5094,6:43.628.306,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,5095,6:43.135.940,496.014.416 ms,18 B,,12,02,IN txn   [124 POLL],20 00 33 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5096,6:43.135.940,491.998.916 ms,,,12,02,   [124 IN-NAK],
1,FS,5097,6:43.631.935,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5098,6:43.631.938,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 33 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 2A 4B
1,FS,5099,6:43.631.953,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5100,6:44.488.311,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,5101,6:43.635.943,860.016.166 ms,18 B,,12,02,IN txn   [215 POLL],20 00 34 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5102,6:43.635.943,856.000.500 ms,,,12,02,   [215 IN-NAK],
1,FS,5103,6:44.495.940,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5104,6:44.495.943,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 34 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 56 E9
1,FS,5105,6:44.495.958,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5106,6:45.213.314,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,5107,6:44.499.948,720.015.166 ms,18 B,,12,02,IN txn   [180 POLL],20 00 35 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5108,6:44.499.948,715.999.750 ms,,,12,02,   [180 IN-NAK],
1,FS,5109,6:45.219.943,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5110,6:45.219.947,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 35 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD A9 E9
1,FS,5111,6:45.219.962,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5112,6:45.700.317,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,5113,6:45.223.951,480.014.250 ms,18 B,,12,02,IN txn   [120 POLL],20 00 36 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5114,6:45.223.951,475.998.833 ms,,,12,02,   [120 IN-NAK],
1,FS,5115,6:45.703.946,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5116,6:45.703.949,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 36 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD D7 88
1,FS,5117,6:45.703.965,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5118,6:46.267.320,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,5119,6:45.707.954,568.014.833 ms,18 B,,12,02,IN txn   [142 POLL],20 00 37 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5120,6:45.707.954,563.999.250 ms,,,12,02,   [142 IN-NAK],
1,FS,5121,6:46.275.949,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5122,6:46.275.952,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 37 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 28 88
1,FS,5123,6:46.275.968,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5124,6:46.832.322,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,5125,6:46.279.957,560.014.750 ms,18 B,,12,02,IN txn   [140 POLL],20 00 38 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5126,6:46.279.957,555.999.250 ms,,,12,02,   [140 IN-NAK],
1,FS,5127,6:46.839.952,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5128,6:46.839.956,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 38 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 53 EC
1,FS,5129,6:46.839.971,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5130,6:47.261.324,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,5131,6:46.843.960,424.013.916 ms,18 B,,12,02,IN txn   [106 POLL],20 00 39 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5132,6:46.843.960,419.998.500 ms,,,12,02,   [106 IN-NAK],
1,FS,5133,6:47.267.955,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5134,6:47.267.958,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 39 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD AC EC
1,FS,5135,6:47.267.973,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5136,6:47.757.327,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,5137,6:47.271.962,496.014.333 ms,18 B,,12,02,IN txn   [124 POLL],20 00 3A 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5138,6:47.271.962,491.998.833 ms,,,12,02,   [124 IN-NAK],
1,FS,5139,6:47.767.957,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5140,6:47.767.961,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 3A 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD D2 8D
1,FS,5141,6:47.767.976,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5142,6:48.345.330,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,5143,6:47.771.981,575.998.583 ms,18 B,,12,02,IN txn   [144 POLL],20 00 3B 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5144,6:47.771.981,571.983.166 ms,,,12,02,   [144 IN-NAK],
1,FS,5145,6:48.347.961,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5146,6:48.347.964,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 3B 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 2D 8D
1,FS,5147,6:48.347.979,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5148,6:49.221.334,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,5149,6:48.351.968,876.016.333 ms,18 B,,12,02,IN txn   [219 POLL],20 00 3C 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5150,6:48.351.968,872.000.833 ms,,,12,02,   [219 IN-NAK],
1,FS,5151,6:49.227.965,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5152,6:49.227.969,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 3C 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 51 2F
1,FS,5153,6:49.227.984,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5154,6:49.722.337,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,5155,6:49.231.990,495.997.833 ms,18 B,,12,02,IN txn   [124 POLL],20 00 3D 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5156,6:49.231.990,491.982.333 ms,,,12,02,   [124 IN-NAK],
1,FS,5157,6:49.727.968,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5158,6:49.727.971,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 3D 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD AE 2F
1,FS,5159,6:49.727.987,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5160,6:50.182.339,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,5161,6:49.731.976,456.013.750 ms,18 B,,12,02,IN txn   [114 POLL],20 00 3E 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5162,6:49.731.976,451.998.250 ms,,,12,02,   [114 IN-NAK],
1,FS,5163,6:50.187.971,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5164,6:50.187.974,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 3E 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD D0 4E
1,FS,5165,6:50.187.989,666 ns,1 B,,12,02,   ACK packet,D2
0,FS,5166,6:50.605.341,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,5167,6:50.191.980,424.012.083 ms,18 B,,12,02,IN txn   [106 POLL],20 00 3F 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5168,6:50.191.980,419.996.500 ms,,,12,02,   [106 IN-NAK],
1,FS,5169,6:50.615.973,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5170,6:50.615.976,14.333 us,21 B,,12,02,   DATA0 packet,C3 20 00 3F 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 2F 4E
1,FS,5171,6:50.615.992,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5172,6:51.140.344,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,5173,6:50.619.981,528.014.500 ms,18 B,,12,02,IN txn   [132 POLL],20 00 40 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5174,6:50.619.981,523.999.083 ms,,,12,02,   [132 IN-NAK],
1,FS,5175,6:51.147.976,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5176,6:51.147.979,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 40 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 71 CE
1,FS,5177,6:51.147.995,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5178,6:51.621.346,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,5179,6:51.151.984,476.014.166 ms,18 B,,12,02,IN txn   [119 POLL],20 00 41 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5180,6:51.151.984,471.998.750 ms,,,12,02,   [119 IN-NAK],
1,FS,5181,6:51.627.978,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5182,6:51.627.982,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 41 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 8E CE
1,FS,5183,6:51.627.997,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5184,6:52.159.349,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,5185,6:51.631.986,540.014.666 ms,18 B,,12,02,IN txn   [135 POLL],20 00 42 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5186,6:51.631.986,535.999.166 ms,,,12,02,   [135 IN-NAK],
1,FS,5187,6:52.171.981,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5188,6:52.171.985,14.333 us,21 B,,12,02,   DATA1 packet,4B 20 00 42 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD F0 AF
1,FS,5189,6:52.172.000,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5190,6:52.892.353,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,5191,6:52.176.006,719.999.250 ms,18 B,,12,02,IN txn   [180 POLL],20 00 43 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5192,6:52.176.006,715.983.750 ms,,,12,02,   [180 IN-NAK],
1,FS,5193,6:52.895.985,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5194,6:52.895.989,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 43 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 0F AF
1,FS,5195,6:52.896.004,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5196,6:53.367.355,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,5197,6:52.899.994,472.013.833 ms,18 B,,12,02,IN txn   [118 POLL],20 00 44 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5198,6:52.899.994,467.998.333 ms,,,12,02,   [118 IN-NAK],
1,FS,5199,6:53.371.988,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5200,6:53.371.991,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 44 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 73 0D
1,FS,5201,6:53.372.007,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5202,6:53.885.358,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,5203,6:53.375.996,520.014.583 ms,18 B,,12,02,IN txn   [130 POLL],20 00 45 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5204,6:53.375.996,515.999.000 ms,,,12,02,   [130 IN-NAK],
1,FS,5205,6:53.895.991,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5206,6:53.895.994,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 45 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 8C 0D
1,FS,5207,6:53.896.010,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5208,6:54.372.360,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,5209,6:53.899.999,480.014.250 ms,18 B,,12,02,IN txn   [120 POLL],20 00 46 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5210,6:53.899.999,475.998.833 ms,,,12,02,   [120 IN-NAK],
1,FS,5211,6:54.379.994,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5212,6:54.379.997,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 46 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD F2 6C
1,FS,5213,6:54.380.012,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5214,6:55.351.365,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,5215,6:54.384.002,972.016.583 ms,18 B,,12,02,IN txn   [243 POLL],20 00 47 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5216,6:54.384.002,968.001.083 ms,,,12,02,   [243 IN-NAK],
1,FS,5217,6:55.355.999,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5218,6:55.356.002,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 47 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 0D 6C
1,FS,5219,6:55.356.018,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5220,6:56.103.369,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,5221,6:55.360.007,752.015.750 ms,18 B,,12,02,IN txn   [188 POLL],20 00 48 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5222,6:55.360.007,748.000.250 ms,,,12,02,   [188 IN-NAK],
1,FS,5223,6:56.112.003,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5224,6:56.112.006,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 48 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 76 08
1,FS,5225,6:56.112.022,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5226,6:56.548.371,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,5227,6:56.116.011,440.014.000 ms,18 B,,12,02,IN txn   [110 POLL],20 00 49 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5228,6:56.116.011,435.998.583 ms,,,12,02,   [110 IN-NAK],
1,FS,5229,6:56.556.005,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5230,6:56.556.009,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 49 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 89 08
1,FS,5231,6:56.556.024,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5232,6:57.208.374,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,5233,6:56.560.029,655.999.666 ms,18 B,,12,02,IN txn   [164 POLL],20 00 4A 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5234,6:56.560.029,651.984.083 ms,,,12,02,   [164 IN-NAK],
1,FS,5235,6:57.216.009,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5236,6:57.216.012,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 4A 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD F7 69
1,FS,5237,6:57.216.028,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5238,6:57.769.377,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,5239,6:57.220.018,552.013.833 ms,18 B,,12,02,IN txn   [138 POLL],20 00 4B 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5240,6:57.220.018,547.998.333 ms,,,12,02,   [138 IN-NAK],
1,FS,5241,6:57.772.012,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5242,6:57.772.015,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 4B 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 08 69
1,FS,5243,6:57.772.031,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5244,6:58.321.380,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,5245,6:57.776.020,552.014.583 ms,18 B,,12,02,IN txn   [138 POLL],20 00 4C 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5246,6:57.776.020,547.999.083 ms,,,12,02,   [138 IN-NAK],
1,FS,5247,6:58.328.015,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5248,6:58.328.018,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 4C 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 74 CB
1,FS,5249,6:58.328.034,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5250,6:58.916.383,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,5251,6:58.332.023,596.014.583 ms,18 B,,12,02,IN txn   [149 POLL],20 00 4D 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5252,6:58.332.023,591.999.250 ms,,,12,02,   [149 IN-NAK],
1,FS,5253,6:58.928.018,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5254,6:58.928.022,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 4D 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 8B CB
1,FS,5255,6:58.928.037,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5256,6:59.391.385,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,5257,6:58.932.027,468.013.333 ms,18 B,,12,02,IN txn   [117 POLL],20 00 4E 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5258,6:58.932.027,463.998.000 ms,,,12,02,   [117 IN-NAK],
1,FS,5259,6:59.400.021,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5260,6:59.400.024,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 4E 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD F5 AA
1,FS,5261,6:59.400.040,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5262,7:00.248.389,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,5263,6:59.404.029,852.016.250 ms,18 B,,12,02,IN txn   [213 POLL],20 00 4F 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5264,6:59.404.029,848.000.833 ms,,,12,02,   [213 IN-NAK],
1,FS,5265,7:00.256.026,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5266,7:00.256.029,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 4F 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 0A AA
1,FS,5267,7:00.256.044,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,5268,7:01.027.393,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,5269,7:00.260.030,780.019.833 ms,18 B,,12,02,IN txn   [195 POLL],20 00 50 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,5270,7:00.260.030,776.004.416 ms,,,12,02,   [195 IN-NAK],
1,FS,5271,7:01.040.030,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,5272,7:01.040.033,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 50 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 7C 02
1,FS,5273,7:01.040.049,750 ns,1 B,,12,02,   ACK packet,D2
