# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
2,FS,122,0:09.515.359,750 ns,1 B,,11,00,      ACK packet,D2
0,FS,123,0:09.515.385,55.166 us,4 B,,11,00,Get String Descriptor,Index=0 Length=255
1,FS,124,0:09.515.385,12.666 us,8 B,,11,00,   SETUP txn,80 06 00 03 00 00 FF 00
2,FS,125,0:09.515.385,2.083 us,3 B,,11,00,      SETUP packet,2D 0B 20
2,FS,126,0:09.515.389,7.516 us,11 B,,11,00,      DATA0 packet,C3 80 06 00 03 00 00 FF 00 D4 64
2,FS,127,0:09.515.397,750 ns,1 B,,11,00,      ACK packet,D2
1,FS,128,0:09.515.411,9.916 us,4 B,,11,00,   IN txn,04 03 09 04
2,FS,129,0:09.515.411,2.083 us,3 B,,11,00,      IN packet,69 0B 20
2,FS,130,0:09.515.414,4.750 us,7 B,,11,00,      DATA1 packet,4B 04 03 09 04 09 78
2,FS,131,0:09.515.420,750 ns,1 B,,11,00,      ACK packet,D2
1,FS,132,0:09.515.433,7.250 us,0 B,,11,00,   OUT txn,
2,FS,133,0:09.515.433,2.083 us,3 B,,11,00,      OUT packet,E1 0B 20
2,FS,134,0:09.515.437,2.083 us,3 B,,11,00,      DATA1 packet,4B 00 00
2,FS,135,0:09.515.440,750 ns,1 B,,11,00,      ACK packet,D2
0,FS,136,0:09.515.505,91.750 us,22 B,,11,00,Get String Descriptor,Index=2 Length=255
1,FS,137,0:09.515.505,12.583 us,8 B,,11,00,   SETUP txn,80 06 02 03 09 04 FF 00
2,FS,138,0:09.515.505,2.083 us,3 B,,11,00,      SETUP packet,2D 0B 20
2,FS,139,0:09.515.508,7.516 us,11 B,,11,00,      DATA0 packet,C3 80 06 02 03 09 04 FF 00 97 DB
2,FS,140,0:09.515.517,750 ns,1 B,,11,00,      ACK packet,D2
1,FS,141,0:09.515.531,47.500 us,22 B,,11,00,   IN txn   [1 POLL],16 03 43 00 6F 00 6E 00 74 00 72 00 6F 00 6C 00 6C 00 65 00 72 00
2,FS,142,0:09.515.531,4.000 us,,,11,00,      [1 IN-NAK],
2,FS,143,0:09.515.556,2.083 us,3 B,,11,00,      IN packet,69 0B 20
2,FS,144,0:09.515.559,16.750 us,25 B,,11,00,      DATA1 packet,4B 16 03 43 00 6F 00 6E 00 74 00 72 00 6F 00 6C 00 6C 00 65 00 72 00 61…
2,FS,145,0:09.515.577,750 ns,1 B,,11,00,      ACK packet,D2
1,FS,146,0:09.515.589,7.250 us,0 B,,11,00,   OUT txn,
2,FS,147,0:09.515.589,2.083 us,3 B,,11,00,      OUT packet,E1 0B 20
2,FS,148,0:09.515.593,2.083 us,3 B,,11,00,      DATA1 packet,4B 00 00
2,FS,149,0:09.515.596,750 ns,1 B,,11,00,      ACK packet,D2
0,FS,150,0:09.515.660,29.000 us,0 B,,11,00,Control Transfer (STALL),Index=0 Length=10
1,FS,151,0:09.515.660,12.583 us,8 B,,11,00,   SETUP txn,80 06 00 06 00 00 0A 00
2,FS,152,0:09.515.660,2.083 us,3 B,,11,00,      SETUP packet,2D 0B 20
2,FS,153,0:09.515.663,7.416 us,11 B,,11,00,      DATA0 packet,C3 80 06 00 06 00 00 0A 00 5F 34
2,FS,154,0:09.515.672,750 ns,1 B,,11,00,      ACK packet,D2
1,FS,155,0:09.515.685,4.000 us,,,11,00,   IN txn (STALL),
2,FS,156,0:09.515.685,2.083 us,3 B,,11,00,      IN packet,69 0B 20
2,FS,157,0:09.515.688,750 ns,1 B,,11,00,      STALL packet,1E
0,FS,158,0:09.527.073,88.916 us,18 B,,11,00,Get Device Descriptor,Index=0 Length=18
1,FS,159,0:09.527.073,12.583 us,8 B,,11,00,   SETUP txn,80 06 00 01 00 00 12 00
2,FS,160,0:09.527.073,2.083 us,3 B,,11,00,      SETUP packet,2D 0B 20
2,FS,161,0:09.527.076,7.416 us,11 B,,11,00,      DATA0 packet,C3 80 06 00 01 00 00 12 00 E0 F4
2,FS,162,0:09.527.085,750 ns,1 B,,11,00,      ACK packet,D2
1,FS,163,0:09.527.098,45.500 us,18 B,,11,00,   IN txn   [1 POLL],12 01 00 02 FF 47 D0 40 5E 04 EA 02 08 04 01 02 03 01
2,FS,164,0:09.527.098,4.000 us,,,11,00,      [1 IN-NAK],
2,FS,165,0:09.527.124,2.083 us,3 B,,11,00,      IN packet,69 0B 20
2,FS,166,0:09.527.127,14.183 us,21 B,,11,00,      DATA1 packet,4B 12 01 00 02 FF 47 D0 40 5E 04 EA 02 08 04 01 02 03 01 09 F7
2,FS,167,0:09.527.143,666 ns,1 B,,11,00,      ACK packet,D2
1,FS,168,0:09.527.155,7.250 us,0 B,,11,00,   OUT txn,
2,FS,169,0:09.527.155,2.000 us,3 B,,11,00,      OUT packet,E1 0B 20
2,FS,170,0:09.527.158,2.083 us,3 B,,11,00,      DATA1 packet,4B 00 00
2,FS,171,0:09.527.161,750 ns,1 B,,11,00,      ACK packet,D2
0,FS,172,0:09.527.240,83.250 us,9 B,,11,00,Get Configuration Descriptor,Index=0 Length=9
1,FS,173,0:09.527.240,12.583 us,8 B,,11,00,   SETUP txn,80 06 00 02 00 00 09 00
2,FS,174,0:09.527.240,2.083 us,3 B,,11,00,      SETUP packet,2D 0B 20
2,FS,175,0:09.527.243,7.416 us,11 B,,11,00,      DATA0 packet,C3 80 06 00 02 00 00 09 00 AE 04
2,FS,176,0:09.527.252,750 ns,1 B,,11,00,      ACK packet,D2
1,FS,177,0:09.527.265,39.666 us,9 B,,11,00,   IN txn   [1 POLL],09 02 60 00 03 01 00 A0 FA
2,FS,178,0:09.527.265,3.916 us,,,11,00,      [1 IN-NAK],
2,FS,179,0:09.527.291,2.083 us,3 B,,11,00,      IN packet,69 0B 20
2,FS,180,0:09.527.295,8.250 us,12 B,,11,00,      DATA1 packet,4B 09 02 60 00 03 01 00 A0 FA C3 3F
2,FS,181,0:09.527.304,750 ns,1 B,,11,00,      ACK packet,D2
1,FS,182,0:09.527.316,7.250 us,0 B,,11,00,   OUT txn,
2,FS,183,0:09.527.316,2.083 us,3 B,,11,00,      OUT packet,E1 0B 20
2,FS,184,0:09.527.319,2.083 us,3 B,,11,00,      DATA1 packet,4B 00 00
2,FS,185,0:09.527.323,750 ns,1 B,,11,00,      ACK packet,D2
